高达,11 27
高达原型机,4B 27
高达（流星锤）,24 27
高达（磁气覆膜）,52 27
高达（光束标枪）,53 27
高达（磁气覆膜）R后,54 27
高达B部件,56 27
高达（最终战式样）,16 27
卡斯帕专用高达,29 2B
完美高达,1F 27
全装甲高达,12 27
G3高达,1E 27
G3高达（火箭筒）,2A 27
4号机,87 27
4号机BST,89 27
5号机,8A 27
5号机BST,92 27
6号机泥岩,10 28
7号机,8B 27
全装甲7号,8E 27
重武装型全装甲高达7号,90 27
高达/夏亚扎古,97 27
夏亚扎古/高达,AA 27


阿力克斯,1B 27
阿力克斯（乔巴姆装甲）,4F 27
阿力克斯（乔巴姆装甲）R后,50 27
阿力克斯/京宝梵,DC 27
京宝梵/阿力克斯,DE 27

高达EZ8,1C 27
高达EZ8BU,55 27
高达EZ8(加农炮）,2B 27
高达EZ8（剧场版）,5F 27
高达EZ8（剧场版）R后,60 27



陆战型高达,14 27
陆战型高达（光束步枪）,29 27
陆战型高达（光束步枪）BU,37 27


量产牛,40 4E
牛高达,28 4E
牛高达R后,29 4E
牛高达HWS,2C 4E
牛高达HWSR后,2D 4E
双翼牛,42 4E
海牛,38 4E
Ξ高达,3C 4E



超级高达,E9 2E
高达MK2（提坦斯）,CE 32
高达MK2（幽谷）,E6 2E
Z高达,E1 2E
Z高达,E2 2E
剑Z,ED 2E
剑ZR后,EE 2E
Zeta Plus（C1型）,C1 5D
Zeta Plus（C1型）R后,C2 5D
精神力高达,C9 32
精神力高达R后,CA 32
精神力高达（稀有）,D7 32
精神力高达（稀有）R后,D8 32
S高达（光束步枪),C3 5D
S高达（incom）,C5 5D
FAZZ,C8 5D
ZplusA1,CF 5D
高达MK3,D1 5D
全装甲MK2,D2 5D
Z高达（觉醒）,FF 2E
Z高达（觉醒）R后,00 2F
Z II,01 2F
Delta高达,0B 2F
EX-S,C6 5D
Z3,CB 5D
S深度强袭,CD 5D
全装甲MK3,DB 5D
百式/MK2,DD 5D
MK2/百式,DF 5D



ZZ高达,F0 2E
ZZ高达R后,F1 2E
强化型ZZ高达,F6 2E
强化型ZZ高达R后,F7 2E
全装甲ZZ高达,F2 2E
全装甲ZZ高达R后,F8 2E
精神力高达MK2,D4 5D



GP01玉兰,33 27
GP01玉兰FB,34 27
GP01/GP02,E4 27
GP02/GP01,E6 27
GP02A酸浆果,3A 27
GP02A酸浆果MLRS,4C 27
GP03雄蕊,22 27
GP03石斛兰,25 27
GP03石斛兰R后,3B 27
GP03石斛兰（稀有）,67 27
GP03石斛兰（稀有）R后,68 27
GPO4,DA 27
大丁草,20 2B




闪光高达,6B 42
闪光高达（超级模式）,6C 42
闪光高达（超级模式）R后,97 42
诺贝尔高达,6D 42
诺贝尔高达（狂战士模式）,98 42
诺贝尔高达（狂战士模式）R后,99 42
玫瑰高达,9F 42
高达玫瑰超级模式,A7 42
高达玫瑰超级模式R后,A8 42
极限高达,A0 42
极限高达（超级模式）,A5 42
极限高达（超级模式）R后,A6 42
极限高达（滑板）,B0 42
重锤高达,A1 42
重锤高达（超级模式）,AA 42
重锤高达（超级模式）R后,AB 42
